Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000118,R,15.8 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 15.8 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1582V,1%,150V
R_000119,R,158 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 158 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1583V,1%,150V
R_000120,R,1.58 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.58 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1584V,1%,150V
R_000121,R,16.2 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.2 Ω 1% 0805 150V,Panasonic,ERJ-6ENF16R2V,1%,150V
R_000122,R,162 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 162 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1620V,1%,150V
R_000123,R,1.62 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.62 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1621V,1%,150V
R_000124,R,16.2 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.2 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1622V,1%,150V
R_000125,R,162 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 162 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1623V,1%,150V
R_000126,R,1.62 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.62 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1624V,1%,150V
R_000127,R,16.5 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.5 Ω 1% 0805 150V,Panasonic,ERJ-6ENF16R5V,1%,150V
R_000128,R,165 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 165 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1650V,1%,150V
R_000129,R,1.65 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.65 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1651V,1%,150V
R_000130,R,16.5 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.5 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1652V,1%,150V
R_000131,R,165 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 165 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1653V,1%,150V
R_000132,R,1.65 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.65 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1654V,1%,150V
R_000133,R,16.9 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 16.9 Ω 1% 0805 150V,Panasonic,ERJ-6ENF16R9V,1%,150V
R_000134,R,169 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 169 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1690V,1%,150V
