Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search
L_XFL3010-223ME,L,22 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XFL3010-223ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-223ME
L_XFL3010-333ME,L,33 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XFL3010-333ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-333ME
L_XFL3010-473ME,L,47 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 47 µH ±20% AEC-Q200,Coilcraft,XFL3010-473ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-473ME
L_XFL3010-683ME,L,68 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 68 µH ±20% AEC-Q200,Coilcraft,XFL3010-683ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-683ME
L_XFL3010-823ME,L,82 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 82 µH ±20% AEC-Q200,Coilcraft,XFL3010-823ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-823ME
L_XFL3010-104ME,L,100 µH,footprints:XFL3010,https://www.coilcraft.com/getmedia/0118859e-f2e2-4063-93cf-e50ed636ea4e/xfl3010.pdf,INDUCTOR SMD 100 µH ±20% AEC-Q200,Coilcraft,XFL3010-104ME,±20%,XFL3010,https://www.trustedparts.com/en/search/XFL3010-104ME
L_XFL4012-121ME,L,120 nH,footprints:XFL4012,https://www.coilcraft.com/getmedia/2d7c4d90-1677-4c05-9569-33b6dc7153e7/xfl4012.pdf,INDUCTOR SMD 120 nH ±20% AEC-Q200,Coilcraft,XFL4012-121ME,±20%,XFL4012,https://www.trustedparts.com/en/search/XFL4012-121ME
L_XFL4012-251ME,L,250 nH,footprints:XFL4012,https://www.coilcraft.com/getmedia/2d7c4d90-1677-4c05-9569-33b6dc7153e7/xfl4012.pdf,INDUCTOR SMD 250 nH ±20% AEC-Q200,Coilcraft,XFL4012-251ME,±20%,XFL4012,https://www.trustedparts.com/en/search/XFL4012-251ME
L_XFL4012-471ME,L,470 nH,footprints:XFL4012,https://www.coilcraft.com/getmedia/2d7c4d90-1677-4c05-9569-33b6dc7153e7/xfl4012.pdf,INDUCTOR SMD 470 nH ±20% AEC-Q200,Coilcraft,XFL4012-471ME,±20%,XFL4012,https://www.trustedparts.com/en/search/XFL4012-471ME
L_XFL4012-601ME,L,600 nH,footprints:XFL4012,https://www.coilcraft.com/getmedia/2d7c4d90-1677-4c05-9569-33b6dc7153e7/xfl4012.pdf,INDUCTOR SMD 600 nH ±20% AEC-Q200,Coilcraft,XFL4012-601ME,±20%,XFL4012,https://www.trustedparts.com/en/search/XFL4012-601ME
