Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_ERJ-2RKF1151X,R,1.15 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.15 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1151X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1151X
R_ERJ-2RKF1152X,R,11.5 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.5 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1152X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1152X
R_ERJ-2RKF1153X,R,115 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 115 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1153X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1153X
R_ERJ-2RKF11R8X,R,11.8 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 Ω 1% 0402 50V,Panasonic,ERJ-2RKF11R8X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF11R8X
R_ERJ-2RKF1180X,R,118 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 118 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1180X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1180X
R_ERJ-2RKF1181X,R,1.18 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.18 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1181X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1181X
R_ERJ-2RKF1182X,R,11.8 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 11.8 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1182X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1182X
R_ERJ-2RKF1183X,R,118 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 118 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1183X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1183X
R_ERJ-2RKF12R1X,R,12.1 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 Ω 1% 0402 50V,Panasonic,ERJ-2RKF12R1X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF12R1X
R_ERJ-2RKF1210X,R,121 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1210X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1210X
R_ERJ-2RKF1211X,R,1.21 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.21 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1211X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1211X
R_ERJ-2RKF1212X,R,12.1 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.1 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1212X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1212X
R_ERJ-2RKF1213X,R,121 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 121 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1213X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1213X
R_ERJ-2RKF12R4X,R,12.4 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 Ω 1% 0402 50V,Panasonic,ERJ-2RKF12R4X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF12R4X
R_ERJ-2RKF1240X,R,124 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1240X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1240X
R_ERJ-2RKF1241X,R,1.24 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.24 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1241X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1241X
R_ERJ-2RKF1242X,R,12.4 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.4 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1242X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1242X
R_ERJ-2RKF1243X,R,124 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 124 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1243X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1243X
R_ERJ-2RKF12R7X,R,12.7 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 Ω 1% 0402 50V,Panasonic,ERJ-2RKF12R7X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF12R7X
R_ERJ-2RKF1270X,R,127 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1270X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1270X
R_ERJ-2RKF1271X,R,1.27 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.27 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1271X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1271X
R_ERJ-2RKF1272X,R,12.7 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 12.7 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1272X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1272X
R_ERJ-2RKF1273X,R,127 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 127 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1273X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1273X
R_ERJ-2RKF13R0X,R,13 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13 Ω 1% 0402 50V,Panasonic,ERJ-2RKF13R0X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF13R0X
R_ERJ-2RKF1300X,R,130 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 130 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1300X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1300X
R_ERJ-2RKF1301X,R,1.3 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.3 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1301X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1301X
R_ERJ-2RKF1302X,R,13 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1302X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1302X
R_ERJ-2RKF1303X,R,130 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 130 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1303X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1303X
R_ERJ-2RKF13R3X,R,13.3 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.3 Ω 1% 0402 50V,Panasonic,ERJ-2RKF13R3X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF13R3X
R_ERJ-2RKF1330X,R,133 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 133 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1330X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1330X
R_ERJ-2RKF1331X,R,1.33 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.33 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1331X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1331X
R_ERJ-2RKF1332X,R,13.3 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.3 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1332X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1332X
R_ERJ-2RKF1333X,R,133 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 133 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1333X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1333X
R_ERJ-2RKF13R7X,R,13.7 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.7 Ω 1% 0402 50V,Panasonic,ERJ-2RKF13R7X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF13R7X
R_ERJ-2RKF1370X,R,137 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 137 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1370X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1370X
R_ERJ-2RKF1371X,R,1.37 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.37 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1371X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1371X
R_ERJ-2RKF1372X,R,13.7 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 13.7 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1372X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1372X
R_ERJ-2RKF1373X,R,137 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 137 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1373X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1373X
R_ERJ-2RKF14R0X,R,14 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14 Ω 1% 0402 50V,Panasonic,ERJ-2RKF14R0X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF14R0X
R_ERJ-2RKF1400X,R,140 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 140 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1400X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1400X
R_ERJ-2RKF1401X,R,1.4 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.4 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1401X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1401X
R_ERJ-2RKF1402X,R,14 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1402X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1402X
R_ERJ-2RKF1403X,R,140 kΩ,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 140 kΩ 1% 0402 50V,Panasonic,ERJ-2RKF1403X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1403X
R_ERJ-2RKF14R3X,R,14.3 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.3 Ω 1% 0402 50V,Panasonic,ERJ-2RKF14R3X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF14R3X
R_ERJ-2RKF1430X,R,143 Ω,footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 143 Ω 1% 0402 50V,Panasonic,ERJ-2RKF1430X,1%,50V,0402,1005,ERJ-2RK,https://www.trustedparts.com/en/search/ERJ-2RKF1430X
